unit,region,depth_um,fr_pre,fr_stim,pct_change,log2_ratio,mod_index,p_raw,z_pct,z_log2,p_fdr,responder_z2sd,responder_wilcoxon,condition
87,HPC,1216.047607421875,0.225,0.5166666666666667,129.62962962962968,1.1993088082234067,0.3932584269662922,0.042444285201112486,3.577337103021798,2.8342093793801046,0.21222142600556243,True,False,phase_reversing_1
86,HPC,1216.7545166015625,9.858333333333333,10.470833333333333,6.213017751479297,0.086960597540867,0.03012912482066001,0.5242212483911821,-0.2636406218161292,-0.16916661744340938,0.7905223847542584,False,False,phase_reversing_1
90,HPC,1262.096923828125,16.691666666666666,16.820833333333333,0.7738392411382912,0.011121165667802397,0.0038542832276513665,0.9941233971236907,-0.4329189967585839,-0.37393552623729465,1.0,False,False,phase_reversing_1
98,HPC,1341.424072265625,9.0,10.454166666666667,16.157407407407415,0.2160811583583417,0.07474834011565651,0.10214633404971993,0.04584915086730677,0.17946305564937212,0.3972357435266886,False,False,phase_reversing_1
101,HPC,1344.91796875,2.0166666666666666,1.9791666666666667,-1.8595041322313983,-0.02707953405628415,-0.009384775808133438,0.6610423301912464,-0.5148740357524328,-0.4770786459109307,0.826302912739058,False,False,phase_reversing_1
97,HPC,1355.7359619140625,0.06666666666666667,0.07916666666666666,18.749999999999996,0.2479275134435855,0.0857142857142857,0.36305301398725176,0.1265359421038023,0.2654492401290061,0.6050883566454196,False,False,phase_reversing_1
105,HPC,1373.565673828125,0.075,0.1,33.33333333333335,0.415037499278844,0.1428571428571429,0.35292461205171766,0.5803991428090924,0.7166515843833915,0.6050883566454196,False,False,phase_reversing_1
117,HPC,1462.09912109375,0.7916666666666666,0.7416666666666667,-6.315789473684202,-0.09412217736455004,-0.03260869565217387,0.6591566405177289,-0.6535627622663415,-0.6580959422412722,0.826302912739058,False,False,phase_reversing_1
128,HPC,1481.024169921875,6.333333333333333,6.333333333333333,0.0,0.0,0.0,0.8362872073479698,-0.45700245880299833,-0.4039630317455567,0.9756684085726314,False,False,phase_reversing_1
137,HPC,1648.5931396484375,11.7,12.125,3.6324786324786387,0.051476217491085635,0.01783840503672616,0.8080254993917823,-0.34395228426834723,-0.264975586505609,0.9752031889211165,False,False,phase_reversing_1
136,HPC,1668.7030029296875,0.7166666666666667,0.5875,-18.023255813953487,-0.2867134023033044,-0.09904153354632586,0.4170167295461834,-1.0179230922327913,-1.1780984528085077,0.6634357060962008,False,False,phase_reversing_1
143,HPC,1676.8529052734375,2.725,2.5708333333333333,-5.657492354740065,-0.08402014634866475,-0.029110936270653053,1.0,-0.6330752077004633,-0.6308201331188215,1.0,False,False,phase_reversing_1
158,HPC,1960.6185302734375,0.1,0.05416666666666667,-45.833333333333336,-0.8845227825800641,-0.2972972972972973,0.5457349369112854,-1.8834296610196224,-2.7922030345900253,0.7905223847542584,False,False,phase_reversing_1
170,HPC,2025.796142578125,10.308333333333334,10.3625,0.5254648342764799,0.007561007240537072,0.002620439427534794,0.6347545502875275,-0.44064891698292075,-0.3835480686611968,0.826302912739058,False,False,phase_reversing_1
174,HPC,2044.546142578125,2.5833333333333335,2.754166666666667,6.612903225806454,0.09238205623345416,0.03200624512099923,0.2442171322654597,-0.2511953668702771,-0.15452850435192036,0.5027999781935936,False,False,phase_reversing_1
175,HPC,2050.2314453125,14.183333333333334,14.708333333333334,3.7015276145710954,0.05243714647258006,0.01817132967983849,0.2940979798162928,-0.3418033385299753,-0.2623810473047039,0.5417594365036973,False,False,phase_reversing_1
15,CTX,422.42724609375,0.2833333333333333,0.4583333333333333,61.76470588235294,0.6938968722743202,0.23595505617977525,0.13854830247653763,1.5568378306591,1.5544065081707674,0.4040992155565681,False,False,phase_reversing_2
25,CTX,480.804443359375,19.95,21.608333333333334,8.312447786132005,0.11519905390979276,0.03990374974934834,0.04517794953152684,-0.18181193610090893,-0.07987389928022773,0.26353803893390654,False,False,phase_reversing_2
23,CTX,502.58251953125,3.6166666666666667,4.245833333333334,17.396313364055306,0.2313871037213347,0.08002119766825651,0.011738922324949436,0.11366034759391648,0.24824873633567768,0.20543114068661514,False,False,phase_reversing_2
20,CTX,511.6981201171875,9.55,8.608333333333333,-9.860383944153593,-0.14976678989184564,-0.051858650757228175,0.022398814660343373,-0.77292241065472,-0.8281547350237096,0.23704214068036208,False,False,phase_reversing_2
27,CTX,546.5692138671875,9.608333333333333,10.4,8.239375542064193,0.11422542121047671,0.03956684714702213,0.027090530363469954,-0.18418876814935914,-0.08262350156669003,0.23704214068036208,False,False,phase_reversing_2
32,CTX,582.375,21.0,21.116666666666667,0.5555555555555578,0.007992790753530621,0.002770083102493086,0.9823716457202705,-0.4341215549611037,-0.38263138319033857,0.9882471130288134,False,False,phase_reversing_2
35,CTX,599.0913696289062,9.441666666666666,9.345833333333333,-1.0150044130626643,-0.01471824073424324,-0.005100909292526053,0.976492074410252,-0.4852073990465893,-0.4467688183345845,0.9882471130288134,False,False,phase_reversing_2
