unit,condition,vs_f0,ppc_f0,p_f0,n_spikes,vs_2f0,ppc_2f0,p_2f0,q_f0,q_2f0,reliable,locked_at_2f0_only,label,region,depth_um,fr_hz,cell_type
86,flicker_20Hz,0.023280965341056704,8.959082329996341e-06,0.3617995122585689,1876,0.006519801292974001,-0.0004908028536020546,0.9233709326295835,0.6783740854848167,0.9497970170062313,True,False,good,HPC,1216.7545166015625,8.941062258330867,unclassified
90,flicker_20Hz,0.01401926165854586,-4.1338832242908855e-05,0.4377115193149964,4204,0.007193576577523492,-0.00018616543543230454,0.804508604110434,0.7878807347669935,0.9120132192154621,True,False,good,HPC,1262.096923828125,18.133344628787402,principal
98,flicker_20Hz,0.012051210527684477,-0.00018056003818491377,0.6403087350953568,3070,0.025648105098258874,0.000332200604774582,0.1327182435586199,0.873148275130032,0.39815473067585977,True,False,good,HPC,1341.424072265625,10.66241455417147,principal
101,flicker_20Hz,0.017933775099554017,-0.002447571898242823,0.8902301265749868,362,0.057403378421258,0.0005341925850721382,0.30355926328157873,0.9555849292746132,0.5939202977248279,True,False,good,HPC,1344.91796875,1.4661759614767342,principal
97,flicker_20Hz,0.1490353326623397,-0.026677893099137033,0.6325258901264728,21,0.1518339975962077,-0.025793759032652533,0.6215772241136567,0.873148275130032,0.8085179674126515,False,False,good,HPC,1355.7359619140625,0.11670855602688522,unclassified
103,flicker_20Hz,0.011998701332314237,-0.00011539719258080974,0.5740195511325844,3856,0.011571107561517737,-0.00012547811038858076,0.5967647937039539,0.8610293266988766,0.8085179674126515,True,False,good,HPC,1363.6138916015625,15.607296729697023,principal
105,flicker_20Hz,0.14931097437331303,-0.026591544578276453,0.631448349982403,21,0.14997613726822104,-0.026382516162608904,0.6288473079876178,0.873148275130032,0.8085179674126515,False,False,good,HPC,1373.565673828125,0.13609404499406277,principal
109,flicker_20Hz,0.02273634815084669,-0.00019443431509285944,0.483523547379908,1406,0.03397228971657161,0.00044319413155364265,0.1973890025264248,0.8209455093935475,0.49347250631606204,True,False,good,HPC,1397.14111328125,4.8515153307040455,principal
108,flicker_20Hz,0.012808578917798396,-0.008606431010546062,0.9813894023004357,115,0.03625460321146938,-0.007446003778838378,0.8602344803093624,0.9966557875416778,0.9441597954614954,False,False,good,HPC,1402.908203125,0.49769275756549697,principal
117,flicker_20Hz,0.00439397878438652,-0.00576092816980908,0.9966557875416777,174,0.03477544155776222,-0.004564025130731235,0.8106784170804108,0.9966557875416778,0.9120132192154621,False,False,good,HPC,1462.09912109375,1.1967572270553484,principal
