unit,condition,n_cycle_spikes,fr_peak_hz,fr_trough_hz,mod_depth,mod_depth_norm,mod_depth_fourier,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_q,locked,label,region,depth_um,fr_hz
149,flicker_40Hz,1080,5.104166666666667,3.7499999999999996,1.3611111111111114,0.15294117647058833,0.08962330720436157,0.044811653602180784,0.0010831612997653282,0.11431290672293404,284.3784515025446,True,0.5395454610063842,False,mua,HPC,1772.805419921875,4.721355619067282
150,flicker_40Hz,1652,7.881944444444444,6.111111111111111,1.2897727272727273,0.12655086848635236,0.056580553567441086,0.028290276783720543,0.00019513100202616773,0.2665947281528423,19.778339136254566,True,0.7398069566382002,False,mua,HPC,1812.88720703125,7.116848184297078
151,flicker_40Hz,1300,6.145833333333334,4.791666666666667,1.282608695652174,0.12380952380952384,0.007417527582696987,0.0037087637913484936,-0.0007560574230038314,0.9822842088535524,178.66387705218492,True,0.9965941923381803,False,mua,HPC,1814.18701171875,5.795074334514626
152,flicker_40Hz,1200,5.486111111111111,4.340277777777778,1.264,0.11660777385159007,0.05183803982485585,0.025919019912427926,-0.00016167246716847165,0.4466615084287645,5.827523026986451,True,0.7859591826777483,False,mua,HPC,1855.1988525390625,5.168408731983825
153,flicker_40Hz,2184,10.104166666666668,8.333333333333334,1.2125000000000001,0.09604519774011303,0.060806075517431515,0.030403037758715758,0.0004666829297425766,0.13281831014332177,328.58790672809204,True,0.5903036006369856,False,mua,HPC,1856.607421875,9.578805283128627
154,flicker_40Hz,3034,14.097222222222221,11.73611111111111,1.2011834319526626,0.09139784946236558,0.03853572954437251,0.019267864772186255,4.1666455481590145e-05,0.32423287405746737,348.4052419222819,True,0.7489160628920196,False,mua,HPC,1891.9034423828125,12.459330694761682
155,flicker_40Hz,2160,10.416666666666668,7.986111111111111,1.3043478260869568,0.1320754716981133,0.0458629956306184,0.0229314978153092,6.291975860844184e-05,0.3211875205178284,344.08265171921494,True,0.7489160628920196,False,mua,HPC,1893.3917236328125,9.824486684120815
159,flicker_40Hz,1374,6.666666666666666,4.826388888888889,1.3812949640287768,0.16012084592145007,0.09938210366891866,0.04969105183445933,0.0017426669110984015,0.03358948790674681,239.7438203260102,True,0.2958024921501232,False,mua,HPC,1928.7998046875,6.060141224473992
157,flicker_40Hz,3407,15.659722222222221,11.840277777777777,1.3225806451612903,0.1388888888888889,0.058281456351230776,0.029140728175615388,0.0005558318278119763,0.05539018468016286,44.30288561074961,True,0.3628923992362121,False,mua,HPC,1935.87744140625,14.61151559234221
162,flicker_40Hz,4292,20.104166666666668,16.52777777777778,1.2163865546218489,0.09763033175355451,0.03300605489456893,0.016503027447284466,3.9367474915320114e-05,0.3107180877962718,68.88493359393152,True,0.7489160628920196,False,mua,HPC,1953.154052734375,18.08270498413845
