unit,region,depth_um,fr_hz,condition,n_cycle_spikes,mod_depth,mod_depth_norm,fr_peak,fr_trough,vs,ppc,rayleigh_p,pref_phase_deg,reliable,rayleigh_p_fdr
202,HPC,2495.99462890625,5.84136213470156,flicker_40Hz,1592,1.2294117647058822,0.10290237467018466,7.256944444444444,5.902777777777778,0.008847790276868987,-0.0005502029155806008,0.8828583866480026,161.8667825262041,True,0.9667465768064952
163,HPC,1993.0799560546875,5.831075956882241,flicker_40Hz,1317,1.4609375,0.18730158730158727,6.493055555555555,4.444444444444445,0.04483583237071495,0.001251900991931366,0.07080488245417853,45.69489573655304,True,0.43572235356417555
151,HPC,1814.18701171875,5.795074334514626,flicker_40Hz,1300,1.282608695652174,0.12380952380952384,6.145833333333334,4.791666666666667,0.0037087637913484936,-0.0007560574230038314,0.9822842088535524,178.66387705218492,True,0.9965941923381803
182,HPC,2136.575927734375,5.68430011184504,flicker_40Hz,1416,1.2142857142857142,0.09677419354838707,6.493055555555555,5.347222222222222,0.012164373047696773,-0.0005586372354436461,0.8110203802341306,116.44297572700752,True,0.9541416238048596
193,HPC,2349.2587890625,5.6645190006540425,flicker_40Hz,1260,1.3333333333333333,0.14285714285714288,6.111111111111111,4.583333333333333,0.025774255544510443,-0.00012944127594845408,0.4330767552447259,273.9226806350408,True,0.7859591826777483
191,HPC,2294.20751953125,5.542667355717498,flicker_40Hz,1394,1.443609022556391,0.1815384615384615,6.666666666666666,4.618055555555555,0.02297688315626837,-0.00018955893722177183,0.47913274967349995,97.00190662585696,True,0.7899714129680911
133,HPC,1582.4456787109375,5.329031354854725,flicker_40Hz,1299,1.3787878787878787,0.15923566878980888,6.319444444444445,4.583333333333334,0.029705084718267077,0.00011265584244771352,0.3178934763548405,286.0567408298264,True,0.7489160628920196
152,HPC,1855.1988525390625,5.168408731983825,flicker_40Hz,1200,1.264,0.11660777385159007,5.486111111111111,4.340277777777778,0.025919019912427926,-0.00016167246716847165,0.4466615084287645,5.827523026986451,True,0.7859591826777483
187,HPC,2219.548583984375,4.806810019412391,flicker_40Hz,1162,1.3846153846153846,0.16129032258064516,5.625,4.0625,0.03391887949779852,0.00029015489145627673,0.26271668517821345,15.4388615405235,True,0.7398069566382002
181,HPC,2092.29345703125,4.804040663845652,flicker_40Hz,1166,1.358974358974359,0.15217391304347833,5.520833333333334,4.0625,0.009394688329162602,-0.0007700331701087955,0.9022446964818457,350.4746563383138,True,0.9667465768064952
112,HPC,1395.1429443359375,4.780698952640274,flicker_40Hz,1293,1.3455882352941175,0.1473354231974921,6.354166666666666,4.722222222222222,0.03129261898300372,0.00020599211117675736,0.2819678742783166,222.84625219870188,True,0.7407560793415142
